id,label,weight
Aidan,Aidan,2
Connolly,Connolly,1
Mark,Mark,64
Rita Skeeter,Rita Skeeter,88
Skeeter,Skeeter,34
Rita,Rita,55
Mad-Eye,Mad-Eye,60
Mad-Eye Moody,Mad-Eye Moody,30
Patil,Patil,9
Stewart,Stewart,2
Dennis Creevey,Dennis Creevey,8
Emma,Emma,1
Moody,Moody,376
Fancy,Fancy,1
Finnigan,Finnigan,2
Eloise,Eloise,4
Arnold Weasley,Arnold Weasley,2
Mr Moody,Mr Moody,2
Lily Potter,Lily Potter,3
Venus,Venus,3
Thomas,Thomas,3
Maxime,Maxime,90
Karkaroff,Karkaroff,130
Viktor,Viktor,11
French,French,6
Bartemius Crouch,Bartemius Crouch,4
Fleur,Fleur,189
Fleur Delacour,Fleur Delacour,28
Vi,Vi,2
Violet,Violet,3
Quill,Quill,8
Delacour,Delacour,19
Gregorovitch,Gregorovitch,35
Yule,Yule,13
Joey,Joey,1
Padma,Padma,14
Padma Patil,Padma Patil,7
Roger Davies,Roger Davies,16
Igor,Igor,2
Vicky,Vicky,5
Ali,Ali,1
Roger,Roger,3
Boris,Boris,2
Grubbly-Plank,Grubbly-Plank,46
Alastor,Alastor,5
Barry Crouch,Barry Crouch,2
Aberforth,Aberforth,55
Gabrielle,Gabrielle,10
Scarlet,Scarlet,1
Miss Parkinson,Miss Parkinson,4
Avery,Avery,11
Chuck,Chuck,2
Happy Easter,Happy Easter,1
May,May,7
Mr Krum,Mr Krum,1
Miss Delacour,Miss Delacour,2
Mrs Fudge,Mrs Fudge,1
Carry,Carry,5
Georges,Georges,1
Antonin Dolohov,Antonin Dolohov,3
Dolohov,Dolohov,29
Travers,Travers,33
Rookwood,Rookwood,19
Frank Longbottom,Frank Longbottom,2
Mr Fudge,Mr Fudge,5
Florence,Florence,1
Mrs Longbottom,Mrs Longbottom,11
Nott,Nott,9
Mr Goyle,Mr Goyle,1
Alastor Moody,Alastor Moody,6
Dumbledore Snape,Dumbledore Snape,1
Remus Lupin,Remus Lupin,12
Arabella Figg,Arabella Figg,2
Mrs Diggory,Mrs Diggory,1
Olympe,Olympe,9
Mary,Mary,3
Mark Evans,Mark Evans,1
Mundungus,Mundungus,102
Mr Prentice,Mr Prentice,1
Adam,Adam,4
Weasley Dumbledore,Weasley Dumbledore,1
Petunia Dursley,Petunia Dursley,1
Nymphadora,Nymphadora,5
Tonks,Tonks,182
Nymphadora Tonks,Nymphadora Tonks,3
Kingsley,Kingsley,65
Emmeline,Emmeline,1
Hestia,Hestia,13
Kingsley Shacklebolt,Kingsley Shacklebolt,16
Sturgis Podmore,Sturgis Podmore,7
Emmeline Vance,Emmeline Vance,5
Harris,Harris,1
Mrs Black,Mrs Black,12
Phineas Nigellus,Phineas Nigellus,53
Andromeda,Andromeda,6
Bellatrix,Bellatrix,136
Ted Tonks,Ted Tonks,9
Narcissa Black,Narcissa Black,1
Bellatrix Black,Bellatrix Black,1
Rodolphus Lestrange,Rodolphus Lestrange,1
Rodolphus,Rodolphus,2
Rabastan,Rabastan,2
Bellatrix Lestrange,Bellatrix Lestrange,25
Amelia Bones,Amelia Bones,6
Eric,Eric,4
Oswald Fudge,Oswald Fudge,2
Susan Bones,Susan Bones,6
Jane Umbridge,Jane Umbridge,5
Ignatius Weasley,Ignatius Weasley,1
Albus Percival,Albus Percival,2
Brian Dumbledore,Brian Dumbledore,2
Madam Bones,Madam Bones,22
Doreen Figg,Doreen Figg,1
Wilbert,Wilbert,4
Podmore,Podmore,4
Marlene,Marlene,1
Alice Longbottom,Alice Longbottom,2
Alice,Alice,4
Benjy,Benjy,2
Edgar Bones,Edgar Bones,1
Elphias Doge,Elphias Doge,5
Gideon Prewett,Gideon Prewett,2
Fabian,Fabian,2
Dorcas,Dorcas,1
Sturgis,Sturgis,8
Lovegood,Lovegood,21
Luna,Luna,250
Luna Lovegood,Luna Lovegood,23
Wit,Wit,1
Macmillan,Macmillan,2
Anthony Goldstein,Anthony Goldstein,7
Will Fudge,Will Fudge,1
Norton,Norton,2
Umbridge,Umbridge,518
Patricia,Patricia,1
Inigo,Inigo,1
Page,Page,1
Ginger Newt,Ginger Newt,2
Dolores Umbridge,Dolores Umbridge,22
Geoffrey,Geoffrey,1
Harry Harry,Harry Harry,1
Wilfred,Wilfred,1
Malkin,Malkin,1
Percy Harry,Percy Harry,1
Madam Marchbanks,Madam Marchbanks,2
Miss Johnson,Miss Johnson,1
Michael Corner,Michael Corner,12
Terry Boot,Terry Boot,9
Smith,Smith,16
Zacharias,Zacharias,12
Zacharias Smith,Zacharias Smith,21
Michael,Michael,12
Umbridge Harry,Umbridge Harry,1
Case,Case,1
Barnabas,Barnabas,6
Anthony,Anthony,1
Marietta,Marietta,32
Miles,Miles,1
Barry Ryan,Barry Ryan,1
Ginger,Ginger,1
Dolores,Dolores,8
Ruddy,Ruddy,2
Jack,Jack,3
Everard,Everard,2
Elfrida,Elfrida,1
Phineas,Phineas,17
Nigellus,Nigellus,3
Broderick,Broderick,3
Llewellyn,Llewellyn,1
Augustus,Augustus,2
Willy,Willy,7
Janus,Janus,1
Agnes,Agnes,2
Lestrange,Lestrange,6
Gideon,Gideon,1
Fabian Prewett,Fabian Prewett,2
Augustus Rookwood,Augustus Rookwood,1
Miriam,Miriam,1
Jack Russell,Jack Russell,1
Theodore Nott,Theodore Nott,1
Madam Edgecombe,Madam Edgecombe,1
Miss Edgecombe,Miss Edgecombe,7
Fortescue,Fortescue,1
Edgecombe,Edgecombe,1
Madam Umbridge,Madam Umbridge,1
Shacklebolt,Shacklebolt,3
Dawlish,Dawlish,11
Catherine,Catherine,3
Evans,Evans,3
Marietta Edgecombe,Marietta Edgecombe,2
Mrs Montague,Mrs Montague,1
Bradley,Bradley,2
Hermy,Hermy,3
Griselda Marchbanks,Griselda Marchbanks,2
Marchbanks,Marchbanks,13
Eddie,Eddie,1
Harold,Harold,2
Daphne,Daphne,1
Orion,Orion,1
Pierre,Pierre,2
Ron Neville,Ron Neville,1
Bella,Bella,12
Dawn,Dawn,3
Narcissa,Narcissa,54
Miss Lovegood,Miss Lovegood,2
Corner,Corner,1
Herbert,Herbert,3
Prince,Prince,61
Vance,Vance,1
Somerset,Somerset,1
Scrimgeour,Scrimgeour,109
Rufus Scrimgeour,Rufus Scrimgeour,16
Cissy,Cissy,2
Yaxley,Yaxley,45
Greyback,Greyback,64
Augusta Longbottom,Augusta Longbottom,1
Miss Bellatrix,Miss Bellatrix,1
Rufus,Rufus,4
Horace,Horace,17
Horace Slughorn,Horace Slughorn,7
Slughorn,Slughorn,350
Dirk Cresswell,Dirk Cresswell,6
Ambrosius,Ambrosius,1
Igor Karkaroff,Igor Karkaroff,2
Florean,Florean,1
Narcissa Malfoy,Narcissa Malfoy,6
Glory,Glory,2
Puff,Puff,4
Romilda,Romilda,3
Romilda Vane,Romilda Vane,12
Zabini,Zabini,36
Cormac McLaggen,Cormac McLaggen,6
McLaggen,McLaggen,55
Marcus,Marcus,2
Cormac,Cormac,4
Pip,Pip,1
Buck,Buck,2
